UNITID,EFFYLEV,LSTUDY,EFYTOTLT,EFYTOTLM,EFYTOTLW
106245,1,999,16723,6427,10296
106245,2,1,12137,4775,7362
106245,4,3,4586,1652,2934
106263,1,999,3209,1021,2188
106263,2,1,1191,249,942
106263,4,3,2018,772,1246
106281,1,999,93,36,57
106281,2,1,93,36,57
106306,1,999,1398,861,537
106306,2,1,1398,861,537
106315,1,999,73,5,68
106315,2,1,73,5,68
106324,1,999,74,4,70
106324,2,1,74,4,70
106342,1,999,690,304,386
106342,2,1,690,304,386
106351,1,999,160,92,68
106351,2,1,160,92,68
106360,1,999,67,4,63
106360,2,1,67,4,63
106397,1,999,24559,12598,11961
106397,2,1,19405,9986,9419
106397,4,3,5154,2612,2542
106412,1,999,3811,1644,2167
106412,2,1,3624,1571,2053
106412,4,3,187,73,114
106449,1,999,6973,2824,4149
106449,2,1,6973,2824,4149
106458,1,999,17591,6545,11046
106458,2,1,11913,4946,6967
106458,4,3,5678,1599,4079
106467,1,999,11783,5318,6465
106467,2,1,10738,4992,5746
106467,4,3,1045,326,719
106485,1,999,4606,1820,2786
106485,2,1,4392,1749,2643
106485,4,3,214,71,143
106494,1,999,100,8,92
106494,2,1,100,8,92
106546,1,999,1090,162,928
106546,2,1,1090,162,928
106607,1,999,84,4,80
106607,2,1,84,4,80
106625,1,999,3750,1536,2214
106625,2,1,3750,1536,2214
106704,1,999,13293,5371,7922
106704,2,1,11208,4893,6315
106704,4,3,2085,478,1607
106713,1,999,972,533,439
106713,2,1,972,533,439
106795,1,999,2292,723,1569
106795,2,1,2292,723,1569
106810,1,999,222,118,104
106810,2,1,222,118,104
106829,1,999,399,215,184
106829,2,1,399,215,184
106883,1,999,2284,747,1537
106883,2,1,2284,747,1537
106892,1,999,421,36,385
106892,2,1,421,36,385
106908,1,999,640,42,598
106908,2,1,640,42,598
106980,1,999,5135,1937,3198
106980,2,1,5135,1937,3198
106999,1,999,2239,687,1552
106999,2,1,2239,687,1552
107044,1,999,7740,3042,4698
107044,2,1,4653,2159,2494
107044,4,3,3087,883,2204
107071,1,999,4432,1898,2534
107071,2,1,3753,1730,2023
107071,4,3,679,168,511
107080,1,999,1501,643,858
107080,2,1,1488,634,854
107080,4,3,13,9,4
107099,1,999,99,4,95
107099,2,1,99,4,95
107123,1,999,57,16,41
107123,2,1,57,16,41
107141,1,999,2390,1045,1345
107141,2,1,1856,825,1031
107141,4,3,534,220,314
107211,1,999,39,3,36
107211,2,1,39,3,36
107220,1,999,539,30,509
107220,2,1,539,30,509
107275,1,999,23,0,23
107275,2,1,23,0,23
107293,1,999,106,3,103
107293,2,1,106,3,103
107318,1,999,3544,1232,2312
107318,2,1,3544,1232,2312
107327,1,999,3040,1078,1962
107327,2,1,3040,1078,1962
107363,1,999,92,10,82
107363,2,1,92,10,82
107442,1,999,113,72,41
107442,2,1,113,72,41
107460,1,999,3220,1313,1907
107460,2,1,3220,1313,1907
107488,1,999,367,210,157
107488,2,1,367,210,157
107512,1,999,1581,735,846
107512,2,1,1581,735,846
107521,1,999,1992,779,1213
107521,2,1,1992,779,1213
107549,1,999,2165,653,1512
107549,2,1,2165,653,1512
107558,1,999,656,298,358
107558,2,1,656,298,358
107585,1,999,3287,1265,2022
107585,2,1,3287,1265,2022
107600,1,999,743,253,490
107600,2,1,743,253,490
107619,1,999,2895,1002,1893
107619,2,1,2895,1002,1893
107637,1,999,3101,1074,2027
107637,2,1,3101,1074,2027
107655,1,999,104,5,99
107655,2,1,104,5,99
107664,1,999,15861,5494,10367
107664,2,1,15861,5494,10367
107725,1,999,2172,766,1406
107725,2,1,2172,766,1406
107743,1,999,1369,466,903
107743,2,1,1369,466,903
107789,1,999,171,13,158
107789,2,1,171,13,158
107831,1,999,116,3,113
107831,2,1,116,3,113
107877,1,999,714,293,421
107877,2,1,714,293,421
107974,1,999,2503,663,1840
107974,2,1,2503,663,1840
107983,1,999,4008,1605,2403
107983,2,1,3343,1437,1906
107983,4,3,665,168,497
107992,1,999,3849,1927,1922
107992,2,1,3849,1927,1922
108065,1,999,21,2,19
108065,2,1,21,2,19
108092,1,999,9389,4026,5363
108092,2,1,9389,4026,5363
108199,1,999,16401,7625,8776
108199,2,1,16401,7625,8776
108232,1,999,22236,9390,12846
108232,2,1,15415,6654,8761
108232,4,3,6821,2736,4085
108250,1,999,1264,1020,244
108250,2,1,1264,1020,244
108269,1,999,133,53,80
108269,4,3,133,53,80
108348,1,999,96,49,47
108348,2,1,96,49,47
108649,1,999,173,6,167
108649,2,1,173,6,167
108667,1,999,11642,5230,6412
108667,2,1,11642,5230,6412
108807,1,999,19552,10177,9375
108807,2,1,19552,10177,9375
108852,1,999,220,98,122
108852,2,1,220,98,122
108861,1,999,86,57,29
108861,4,3,86,57,29
108870,1,999,356,239,117
108870,4,3,356,239,117
108977,1,999,60,4,56
108977,2,1,60,4,56
109040,1,999,3675,856,2819
109040,2,1,3675,856,2819
109086,1,999,80,43,37
109086,2,1,51,27,24
109086,4,3,29,16,13
109208,1,999,54155,26303,27852
109208,2,1,54155,26303,27852
109332,1,999,684,60,624
109332,2,1,684,60,624
109350,1,999,19052,7898,11154
109350,2,1,19052,7898,11154
109651,1,999,2256,1281,975
109651,2,1,2056,1157,899
109651,4,3,200,124,76
109721,1,999,957,559,398
109721,2,1,957,559,398
109730,1,999,231,189,42
109730,2,1,231,189,42
109785,1,999,11474,3956,7518
109785,2,1,6254,2254,4000
109785,4,3,5220,1702,3518
109819,1,999,27426,12483,14943
109819,2,1,27426,12483,14943
109891,1,999,30,0,30
109891,2,1,30,0,30
109907,1,999,5193,2143,3050
109907,2,1,5193,2143,3050
109934,1,999,326,20,306
109934,2,1,326,20,306
110060,1,999,378,204,174
110060,2,1,237,127,110
110060,4,3,141,77,64
110097,1,999,6758,3271,3487
110097,2,1,4504,1806,2698
110097,4,3,2254,1465,789
110185,1,999,1215,670,545
110185,2,1,1158,637,521
110185,4,3,57,33,24
110194,1,999,354,353,1
110194,2,1,354,353,1
110219,1,999,1535,276,1259
110219,2,1,1535,276,1259
110246,1,999,17877,8567,9310
110246,2,1,17877,8567,9310
110307,1,999,316,48,268
110307,4,3,316,48,268
110316,1,999,1603,458,1145
110316,2,1,134,45,89
110316,4,3,1469,413,1056
110334,1,999,20424,9631,10793
110334,2,1,20424,9631,10793
110361,1,999,5822,1972,3850
110361,2,1,4443,1628,2815
110361,4,3,1379,344,1035
110370,1,999,2061,815,1246
110370,2,1,1587,630,957
110370,4,3,474,185,289
110398,1,999,1321,609,712
110398,4,3,1321,609,712
110404,1,999,2274,1521,753
110404,2,1,1008,617,391
110404,4,3,1266,904,362
110413,1,999,4812,1996,2816
110413,2,1,2917,1221,1696
110413,4,3,1895,775,1120
110422,1,999,19077,10557,8520
110422,2,1,17736,9797,7939
110422,4,3,1341,760,581
110468,1,999,4517,1289,3228
110468,2,1,347,135,212
110468,4,3,4170,1154,3016
110486,1,999,9456,3467,5989
110486,2,1,7812,2996,4816
110486,4,3,1644,471,1173
110495,1,999,9411,3244,6167
110495,2,1,7786,2805,4981
110495,4,3,1625,439,1186
110510,1,999,19065,7058,12007
110510,2,1,15947,5960,9987
110510,4,3,3118,1098,2020
110529,1,999,22770,12732,10038
110529,2,1,20345,11617,8728
110529,4,3,2425,1115,1310
110538,1,999,16912,8047,8865
110538,2,1,15531,7580,7951
110538,4,3,1381,467,914
110547,1,999,15909,5235,10674
110547,2,1,12474,4378,8096
110547,4,3,3435,857,2578
110556,1,999,22285,9307,12978
110556,2,1,18878,8185,10693
110556,4,3,3407,1122,2285
110565,1,999,39521,16799,22722
110565,2,1,33248,14432,18816
110565,4,3,6273,2367,3906
110574,1,999,15357,6072,9285
110574,2,1,12327,4931,7396
110574,4,3,3030,1141,1889
110583,1,999,37602,15458,22144
110583,2,1,30931,12891,18040
110583,4,3,6671,2567,4104
110592,1,999,22830,9197,13633
110592,2,1,17889,7398,10491
110592,4,3,4941,1799,3142
110608,1,999,37832,16152,21680
110608,2,1,31896,14030,17866
110608,4,3,5936,2122,3814
110617,1,999,30362,12747,17615
110617,2,1,26333,11364,14969
110617,4,3,4029,1383,2646
110635,1,999,39175,19328,19847
110635,2,1,28437,13396,15041
110635,4,3,10738,5932,4806
110644,1,999,33786,15511,18275
110644,2,1,26833,12089,14744
110644,4,3,6953,3422,3531
110653,1,999,29200,14201,14999
110653,2,1,23688,11074,12614
110653,4,3,5512,3127,2385
110662,1,999,40863,19467,21396
110662,2,1,28379,12765,15614
110662,4,3,12484,6702,5782
110671,1,999,22067,10898,11169
110671,2,1,19441,9475,9966
110671,4,3,2626,1423,1203
110680,1,999,31089,15749,15340
110680,2,1,25324,12414,12910
110680,4,3,5765,3335,2430
110699,1,999,3080,1131,1949
110699,4,3,3080,1131,1949
110705,1,999,24078,11607,12471
110705,2,1,20795,9898,10897
110705,4,3,3283,1709,1574
110714,1,999,18412,8944,9468
110714,2,1,16729,8063,8666
110714,4,3,1683,881,802
110778,1,999,604,121,483
110778,4,3,604,121,483
110875,1,999,171,2,169
110875,2,1,171,2,169
110918,1,999,26,15,11
110918,2,1,26,15,11
110945,1,999,2224,858,1366
110945,2,1,2224,858,1366
111009,1,999,1271,724,547
111009,2,1,1271,724,547
111054,1,999,380,19,361
111054,2,1,380,19,361
111081,1,999,1491,728,763
111081,2,1,919,472,447
111081,4,3,572,256,316
111188,1,999,870,755,115
111188,2,1,870,755,115
111391,1,999,1026,474,552
111391,4,3,1026,474,552
111434,1,999,10762,3815,6947
111434,2,1,10762,3815,6947
111461,1,999,33263,20746,12517
111461,2,1,33263,20746,12517
111513,1,999,326,15,311
111513,2,1,326,15,311
111638,1,999,1006,231,775
111638,2,1,1006,231,775
111708,1,999,472,375,97
111708,2,1,472,375,97
111717,1,999,1129,641,488
111717,2,1,1129,641,488
111726,1,999,502,378,124
111726,2,1,502,378,124
111744,1,999,381,344,37
111744,2,1,381,344,37
111762,1,999,256,153,103
111762,2,1,256,153,103
111771,1,999,351,253,98
111771,2,1,351,253,98
111799,1,999,176,81,95
111799,2,1,176,81,95
111887,1,999,28810,12831,15979
111887,2,1,28810,12831,15979
111896,1,999,11427,4408,7019
111896,2,1,11427,4408,7019
111920,1,999,21214,9731,11483
111920,2,1,21214,9731,11483
111939,1,999,25455,10637,14818
111939,2,1,25455,10637,14818
111948,1,999,7706,3246,4460
111948,2,1,5440,2268,3172
111948,4,3,2266,978,1288
111966,1,999,337,107,230
111966,2,1,164,63,101
111966,4,3,173,44,129
112075,1,999,3916,1703,2213
112075,2,1,1717,678,1039
112075,4,3,2199,1025,1174
112084,1,999,602,302,300
112084,2,1,578,297,281
112084,4,3,24,5,19
112127,1,999,93,52,41
112127,4,3,93,52,41
112172,1,999,17293,7853,9440
112172,2,1,17293,7853,9440
112190,1,999,46543,21891,24652
112190,2,1,46543,21891,24652
112251,1,999,2503,1175,1328
112251,4,3,2503,1175,1328
112260,1,999,1289,696,593
112260,2,1,1272,682,590
112260,4,3,17,14,3
112288,1,999,592,66,526
112288,2,1,592,66,526
112312,1,999,343,212,131
112312,2,1,83,51,32
112312,4,3,260,161,99
112367,1,999,1918,568,1350
112367,2,1,1918,568,1350
112385,1,999,18477,8447,10030
112385,2,1,18477,8447,10030
112394,1,999,293,237,56
112394,2,1,293,237,56
112446,1,999,1097,944,153
112446,2,1,942,829,113
112446,4,3,155,115,40
112455,1,999,163,18,145
112455,2,1,163,18,145
112525,1,999,3037,1085,1952
112525,4,3,3037,1085,1952
112561,1,999,5224,2462,2762
112561,2,1,5224,2462,2762
112570,1,999,412,291,121
112570,2,1,412,291,121
112686,1,999,16127,6042,10085
112686,2,1,16127,6042,10085
112783,1,999,740,212,528
112783,2,1,740,212,528
112826,1,999,12468,4860,7608
112826,2,1,12468,4860,7608
113096,1,999,22825,9861,12964
113096,2,1,22825,9861,12964
113111,1,999,8379,4048,4331
113111,2,1,8379,4048,4331
113193,1,999,15033,7289,7744
113193,2,1,15033,7289,7744
113218,1,999,14897,6641,8256
113218,2,1,14897,6641,8256
113227,1,999,314,11,303
113227,2,1,314,11,303
113236,1,999,21655,9479,12176
113236,2,1,21655,9479,12176
113333,1,999,38281,19030,19251
113333,2,1,38281,19030,19251
113397,1,999,1031,54,977
113397,2,1,1031,54,977
113449,1,999,466,114,352
113449,2,1,466,114,352
113537,1,999,46,18,28
113537,2,1,33,14,19
113537,4,3,13,4,9
113573,1,999,12549,5682,6867
113573,2,1,12549,5682,6867
113582,1,999,339,32,307
113582,2,1,339,32,307
113607,1,999,15081,9657,5424
113607,2,1,15081,9657,5424
113634,1,999,32207,15182,17025
113634,2,1,32207,15182,17025
113698,1,999,2495,689,1806
113698,2,1,1702,456,1246
113698,4,3,793,233,560
113704,1,999,95,74,21
113704,4,3,95,74,21
113856,1,999,54962,27164,27798
113856,2,1,54962,27164,27798
113908,1,999,1363,68,1295
113908,2,1,1363,68,1295
113953,1,999,8711,3180,5531
113953,2,1,8711,3180,5531
113980,1,999,35392,16938,18454
113980,2,1,35392,16938,18454
114044,1,999,126,8,118
114044,2,1,126,8,118
114062,1,999,276,8,268
114062,2,1,276,8,268
114071,1,999,875,44,831
114071,2,1,875,44,831
114080,1,999,754,39,715
114080,2,1,754,39,715
114114,1,999,226,48,178
114114,4,3,226,48,178
114123,1,999,937,221,716
114123,2,1,937,221,716
114266,1,999,15419,7372,8047
114266,2,1,15419,7372,8047
114354,1,999,5793,690,5103
114354,2,1,5793,690,5103
114372,1,999,169,23,146
114372,2,1,169,23,146
114390,1,999,1228,112,1116
114390,2,1,1228,112,1116
114415,1,999,497,60,437
114415,2,1,497,60,437
114433,1,999,3041,1264,1777
114433,2,1,3041,1264,1777
114460,1,999,400,10,390
114460,2,1,400,10,390
114549,1,999,1943,534,1409
114549,4,3,1943,534,1409
114585,1,999,471,149,322
114585,4,3,471,149,322
114628,1,999,189,26,163
114628,2,1,189,26,163
114716,1,999,30120,14086,16034
114716,2,1,30120,14086,16034
114734,1,999,69,30,39
